z_A	valence_CHGCAR_e_A3	dencor_e_A3	phi_hartree_eV	phi_local_eV	phi_sol_no_dipole_eV
1.622395833333e+01	1.113833901674e-01	2.891272593923e-05	3.439402693174e+02	-3.411506121808e+02	2.789657136657e+00
1.631510416667e+01	9.484740770081e-02	2.811525937689e-05	3.266016462810e+02	-3.235743285874e+02	3.027317693573e+00
1.640625000000e+01	8.143260611673e-02	2.502346144876e-05	3.092696715577e+02	-3.060621608100e+02	3.207510747700e+00
1.649739583333e+01	7.049901053606e-02	1.899991835219e-05	2.919645960767e+02	-2.886361897529e+02	3.328406323869e+00
1.658854166667e+01	6.163842840489e-02	1.189537206527e-05	2.747029086787e+02	-2.712961396023e+02	3.406769076402e+00
1.667968750000e+01	5.490198997052e-02	6.526330305319e-06	2.574979205558e+02	-2.540485302883e+02	3.449390267509e+00
1.677083333333e+01	5.049187868793e-02	5.258483928646e-06	2.403597301440e+02	-2.368948593504e+02	3.464870793525e+00
1.686197916667e+01	4.832347854934e-02	8.666710427374e-06	2.232949760126e+02	-2.198319493188e+02	3.463026693831e+00
1.695312500000e+01	4.779054981463e-02	1.521059658484e-05	2.063069949382e+02	-2.028568364134e+02	3.450158524806e+00
1.704427083333e+01	4.791979060711e-02	2.209962339646e-05	1.893967125949e+02	-1.859661819790e+02	3.430530615933e+00
1.713541666667e+01	4.771763706536e-02	2.658008728673e-05	1.725640601313e+02	-1.691491515301e+02	3.414908601263e+00
1.722656250000e+01	4.635790061402e-02	2.681809787272e-05	1.558094456247e+02	-1.524063065635e+02	3.403139061106e+00
1.731770833333e+01	4.330680272385e-02	2.271830185765e-05	1.391349812293e+02	-1.357426309087e+02	3.392350320627e+00
1.740885416667e+01	3.849361730387e-02	1.592407840964e-05	1.225452630227e+02	-1.191553088350e+02	3.389954187699e+00
1.750000000000e+01	3.238000831552e-02	8.930203392114e-06	1.060474676381e+02	-1.026444480536e+02	3.403019584473e+00
1.759114583333e+01	2.579485791467e-02	3.746952219493e-06	8.965067937784e+01	-8.621766364884e+01	3.433015729007e+00
1.768229166667e+01	1.959312422947e-02	1.042875727376e-06	7.336468838161e+01	-6.989365717630e+01	3.471031205305e+00
1.777343750000e+01	1.434862794562e-02	1.632449160264e-07	5.719874503036e+01	-5.369719097290e+01	3.501554057457e+00
1.786458333333e+01	1.024767427960e-02	1.964717794281e-08	4.116071075850e+01	-3.764832576237e+01	3.512384996129e+00
1.795572916667e+01	7.204249788597e-03	7.982168502024e-10	2.525676254255e+01	-2.175124972879e+01	3.505512813755e+00
1.804687500000e+01	5.031679063041e-03	1.400954338905e-09	9.491499031125e+00	-5.999979523538e+00	3.491519507587e+00
1.813802083333e+01	3.508221647247e-03	-1.061586849950e-09	-6.131785395656e+00	9.602555076296e+00	3.470769680641e+00
1.822916666667e+01	2.445903903093e-03	1.041534627220e-09	-2.161077703820e+01	2.505550781234e+01	3.444730774141e+00
1.832031250000e+01	1.704930423174e-03	-9.818680662628e-10	-3.694386142196e+01	4.035907465551e+01	3.415213233554e+00
1.841145833333e+01	1.188139413392e-03	9.504669553517e-10	-5.212991257955e+01	5.551325387173e+01	3.383341292183e+00
1.850260416667e+01	8.300952776559e-04	-9.054427033262e-10	-6.716814550904e+01	7.051801373660e+01	3.349868227559e+00
1.859375000000e+01	5.836996516826e-04	8.948962497869e-10	-8.205801612723e+01	8.537340363817e+01	3.315387510942e+00
1.868489583333e+01	4.130778778724e-04	-8.385677339092e-10	-9.679914952301e+01	1.000793645557e+02	3.280215032709e+00
1.877604166667e+01	2.932678262693e-04	8.506264938333e-10	-1.113912860894e+02	1.146359611697e+02	3.244675080276e+00
1.886718750000e+01	2.090171423672e-04	-7.901766867517e-10	-1.258342438381e+02	1.290431252686e+02	3.208881430506e+00
1.895833333333e+01	1.500165627811e-04	8.000259582968e-10	-1.401278948507e+02	1.433009273177e+02	3.173032466948e+00
1.904947916667e+01	1.079379332967e-04	-7.595240561149e-10	-1.542721493747e+02	1.574092954536e+02	3.137146078894e+00
1.914062500000e+01	7.731878263017e-05	7.478614789874e-10	-1.682669434712e+02	1.713683023719e+02	3.101358900705e+00
1.923177083333e+01	5.560519698495e-05	-7.304309940259e-10	-1.821122308088e+02	1.851778749379e+02	3.065644129071e+00
1.932291666667e+01	4.062442755485e-05	7.097133484993e-10	-1.958079784838e+02	1.988380864002e+02	3.030107916434e+00
1.941406250000e+01	2.961605205287e-05	-6.867038111517e-10	-2.093541636117e+02	2.123488635702e+02	2.994699958502e+00
1.950520833333e+01	2.103187403201e-05	6.926777910065e-10	-2.227507694479e+02	2.257102793748e+02	2.959509926821e+00
1.959635416667e+01	1.498988122255e-05	-6.316296064940e-10	-2.359977831184e+02	2.389222613097e+02	2.924478191236e+00
1.968750000000e+01	1.121362492116e-05	6.803576471231e-10	-2.490951955128e+02	2.519848813947e+02	2.889685881903e+00
1.977864583333e+01	8.352438368620e-06	-5.861738994758e-10	-2.620430007682e+02	2.648980681922e+02	2.855067423986e+00
1.986979166667e+01	5.760787796062e-06	6.547208954584e-10	-2.748411944995e+02	2.776618924890e+02	2.820697989548e+00
1.996093750000e+01	4.030359315712e-06	-5.569449437923e-10	-2.874897728985e+02	2.902762841902e+02	2.786511291764e+00
2.005208333333e+01	3.256338385946e-06	6.204003860097e-10	-2.999887333811e+02	3.027413126121e+02	2.752579231000e+00
