z_A	RHOB_DFT_e_A3	RHOB_py_refphi_e_A3	RHOION_DFT_e_A3	RHOION_py_refphi_e_A3
1.868489583333e+01	-2.276312192700e-05	-2.276311294298e-05	-1.910047747700e-07	-1.910047763471e-07
1.877604166667e+01	5.537026276232e-06	5.537021174391e-06	-5.565994781987e-07	-5.565994810141e-07
1.886718750000e+01	-3.262390919210e-06	-3.262380912101e-06	-1.431257603038e-06	-1.431257606610e-06
1.895833333333e+01	-3.750843917249e-05	-3.750844894771e-05	-3.258545925495e-06	-3.258545927713e-06
1.904947916667e+01	-7.116544278869e-05	-7.116543876814e-05	-6.698021531445e-06	-6.698021529699e-06
1.914062500000e+01	-7.763151567089e-05	-7.763152907887e-05	-1.261263906685e-05	-1.261263906191e-05
1.923177083333e+01	-4.880742585060e-05	-4.880742114408e-05	-2.218595304501e-05	-2.218595304432e-05
1.932291666667e+01	-6.987575800181e-06	-6.987587385708e-06	-3.645232575401e-05	-3.645232576322e-05
1.941406250000e+01	2.591469888419e-05	2.591470589015e-05	-5.587730707026e-05	-5.587730707859e-05
1.950520833333e+01	5.299390330789e-05	5.299389251682e-05	-7.957687787844e-05	-7.957687785967e-05
1.959635416667e+01	8.407546858658e-05	8.407547623622e-05	-1.066863095062e-04	-1.066863094511e-04
1.968750000000e+01	1.193073220171e-04	1.193073110108e-04	-1.367432005154e-04	-1.367432004546e-04
1.977864583333e+01	1.565885756472e-04	1.565885835973e-04	-1.711611671581e-04	-1.711611671527e-04
1.986979166667e+01	1.984235716254e-04	1.984235599665e-04	-2.117253813829e-04	-2.117253814775e-04
1.996093750000e+01	2.489445197089e-04	2.489445274063e-04	-2.614176840835e-04	-2.614176842680e-04
2.005208333333e+01	3.115596756297e-04	3.115596633713e-04	-3.236127338682e-04	-3.236127340503e-04
2.014322916667e+01	3.891856853482e-04	3.891856937813e-04	-4.014437225016e-04	-4.014437225139e-04
2.023437500000e+01	4.822604763203e-04	4.822604646604e-04	-4.960451064487e-04	-4.960451061160e-04
2.032552083333e+01	5.862526493145e-04	5.862526592514e-04	-6.022516874077e-04	-6.022516866576e-04
2.041666666667e+01	6.933638232701e-04	6.933638123633e-04	-7.119832770779e-04	-7.119832759352e-04
2.050781250000e+01	7.966469395598e-04	7.966469505759e-04	-8.163081467202e-04	-8.163081452845e-04
2.059895833333e+01	8.913276471065e-04	8.913276361008e-04	-9.125606416595e-04	-9.125606400569e-04
2.069010416667e+01	9.729524664972e-04	9.729524778433e-04	-9.952705114348e-04	-9.952705098429e-04
2.078125000000e+01	1.036655021157e-03	1.036655009508e-03	-1.061037168056e-03	-1.061037166657e-03
2.087239583333e+01	1.079329042435e-03	1.079329053494e-03	-1.103219834237e-03	-1.103219833181e-03
2.096354166667e+01	1.102023727018e-03	1.102023714013e-03	-1.125592432798e-03	-1.125592432142e-03
2.105468750000e+01	1.109772788698e-03	1.109772799229e-03	-1.131712861704e-03	-1.131712861364e-03
2.114583333333e+01	1.109103755786e-03	1.109103741833e-03	-1.131036062072e-03	-1.131036061909e-03
2.123697916667e+01	1.105153058019e-03	1.105153068813e-03	-1.126141469933e-03	-1.126141469854e-03
2.132812500000e+01	1.100237521216e-03	1.100237507029e-03	-1.121139127212e-03	-1.121139127189e-03
2.141927083333e+01	1.094547465794e-03	1.094547477361e-03	-1.114292685934e-03	-1.114292685963e-03
2.151041666667e+01	1.087858718549e-03	1.087858704368e-03	-1.107772891027e-03	-1.107772891106e-03
2.160156250000e+01	1.080342795230e-03	1.080342807666e-03	-1.099268158638e-03	-1.099268158765e-03
2.169270833333e+01	1.072173891090e-03	1.072173876883e-03	-1.091077011433e-03	-1.091077011604e-03
2.178385416667e+01	1.063270520496e-03	1.063270533750e-03	-1.081099963968e-03	-1.081099964178e-03
2.187500000000e+01	1.053737090419e-03	1.053737076063e-03	-1.071852115651e-03	-1.071852115899e-03
2.196614583333e+01	1.043901353592e-03	1.043901367551e-03	-1.060964644435e-03	-1.060964644717e-03
2.205729166667e+01	1.033493165830e-03	1.033493151175e-03	-1.050700517160e-03	-1.050700517465e-03
