z_A	nval_CHGCAR	nval_DBG	dencor_py	dencor_DBG	ne_py	ne_DBG	phisol_py_eV	cvhar_DBG_eV	cvdip_DBG_eV	phisol_DBG_eV	phi_final_DBG_eV
2.433593750000e+01	-8.199899544262e-04	-8.199899535410e-04	4.652219435242e-07	-3.989466756377e-06	-8.195247324827e-04	-8.239794201462e-04	1.411486408483e+00	1.411532089453e+00	-6.050256472000e-02	1.351029524733e+00	1.211140136438e-02
2.442708333333e+01	9.455105921120e-04	9.455105936007e-04	5.374559075936e-07	4.992160060419e-06	9.460480480196e-04	9.505027538850e-04	1.388390082260e+00	1.388438761275e+00	-6.130926558300e-02	1.327129495692e+00	1.183012756068e-02
2.451822916667e+01	9.788239011301e-04	9.788239029165e-04	5.327092855723e-07	-3.922011971571e-06	9.793566104156e-04	9.749018910996e-04	1.365508169818e+00	1.365552360644e+00	-6.211596644600e-02	1.303436394198e+00	1.154060221368e-02
2.460937500000e+01	-7.851226147379e-04	-7.851226145047e-04	2.996448875322e-07	4.754380758540e-06	-7.848229698504e-04	-7.803682335926e-04	1.342863756735e+00	1.342910945701e+00	-6.292266730900e-02	1.279988278392e+00	1.128036048731e-02
2.470052083333e+01	-8.184017384816e-04	-8.184017377909e-04	6.066618303269e-07	-3.848090669550e-06	-8.177950766513e-04	-8.222498283489e-04	1.320434957136e+00	1.320477657816e+00	-6.372936817200e-02	1.256748289644e+00	1.101243733321e-02
2.479166666667e+01	9.357380363379e-04	9.357380366999e-04	1.221779079759e-07	4.576947401686e-06	9.358602142459e-04	9.403149842308e-04	1.298243117198e+00	1.298288816115e+00	-6.453606903500e-02	1.233752747079e+00	1.077268619076e-02
2.488281250000e+01	9.606228027511e-04	9.606228033283e-04	7.597708813941e-07	-3.695013326800e-06	9.613825736325e-04	9.569277901076e-04	1.276267451577e+00	1.276308662112e+00	-6.534276989800e-02	1.210965892214e+00	1.052550694375e-02
2.497395833333e+01	-7.938476246236e-04	-7.938476238084e-04	-7.541676431503e-09	4.447258340813e-06	-7.938551663000e-04	-7.894003653584e-04	1.254527553396e+00	1.254571762265e+00	-6.614947076100e-02	1.188422291504e+00	1.030496618232e-02
2.506510416667e+01	-8.199417526973e-04	-8.199417517978e-04	9.040680003144e-07	-3.550749146445e-06	-8.190376846970e-04	-8.234925008594e-04	1.233005009823e+00	1.233044730213e+00	-6.695617162400e-02	1.166088558589e+00	1.007750093708e-02
2.515625000000e+01	9.275440052619e-04	9.275440054978e-04	-1.924463675825e-07	4.262385666927e-06	9.273515588944e-04	9.318063912289e-04	1.211717683500e+00	1.211760402320e+00	-6.776287248700e-02	1.143997529833e+00	9.875475722189e-03
