z_A	nval_CHGCAR	nval_DBG	dencor_py	dencor_DBG	ne_py	ne_DBG	phisol_py_eV	phisol_DBG_eV	phi_final_DBG_eV
8.658854166667e+00	3.557704107173e+02	3.557704107173e+02	2.563994240227e-01	2.564420544072e-01	3.560268101413e+02	3.560268527717e+02	2.971346567994e-01	4.494797773016e-01	-6.693866672465e-01
8.750000000000e+00	4.025170250174e+02	4.025170250174e+02	6.599445160822e-01	6.600388004763e-01	4.031769695335e+02	4.031770638179e+02	2.305341280441e-01	3.813208040020e-01	-7.608589278679e-01
8.841145833333e+00	4.665347804914e+02	4.665347804914e+02	1.315453141813e+00	1.315572185805e+00	4.678502336332e+02	4.678503526772e+02	1.615903738456e-01	3.108151511943e-01	-8.549043120837e-01
8.932291666667e+00	5.503980432363e+02	5.503980432363e+02	2.092858422983e+00	2.092986527763e+00	5.524909016593e+02	5.524910297642e+02	7.962047672195e-02	2.272885332383e-01	-9.621973645955e-01
9.023437500000e+00	6.594511707052e+02	6.594511707052e+02	2.758020356999e+00	2.758095979811e+00	6.622091910622e+02	6.622092666851e+02	-3.816837635464e-02	1.079334205853e-01	-1.105546402936e+00
9.114583333333e+00	7.994105726792e+02	7.994105726792e+02	3.087169257521e+00	3.087178390332e+00	8.024977419367e+02	8.024977510691e+02	-2.145398072867e-01	-6.999983101503e-02	-1.307702942875e+00
9.205729166667e+00	9.725028614689e+02	9.725028614689e+02	2.984083579203e+00	2.984005266177e+00	9.754869450481e+02	9.754868667351e+02	-4.374613128154e-01	-2.944922087878e-01	-1.556651409490e+00
9.296875000000e+00	1.174158626003e+03	1.174158626003e+03	2.529464444245e+00	2.529343563726e+00	1.176688090447e+03	1.176687969567e+03	-6.906306551746e-01	-5.492250340664e-01	-1.836077893413e+00
9.388020833333e+00	1.393326980030e+03	1.393326980030e+03	1.929575284397e+00	1.929436475552e+00	1.395256555315e+03	1.395256416506e+03	-9.577534693183e-01	-8.179246260951e-01	-2.129713413646e+00
9.479166666667e+00	1.615186268959e+03	1.615186268959e+03	1.406252550762e+00	1.406150649425e+00	1.616592521510e+03	1.616592419609e+03	-1.237736627389e+00	-1.099485616600e+00	-2.436455164063e+00
9.570312500000e+00	1.824496043316e+03	1.824496043316e+03	1.088491860884e+00	1.088425932356e+00	1.825584535177e+03	1.825584469248e+03	-1.536354943198e+00	-1.399693308571e+00	-2.762087410844e+00
9.661458333333e+00	2.007679603749e+03	2.007679603749e+03	9.752232579140e-01	9.752059619184e-01	2.008654827007e+03	2.008654809711e+03	-1.833251142576e+00	-1.698172040937e+00	-3.086229811749e+00
9.752604166667e+00	2.153139929247e+03	2.153139929247e+03	9.738117493575e-01	9.738090307198e-01	2.154113740997e+03	2.154113738278e+03	-2.088077404212e+00	-1.954586049562e+00	-3.368539361676e+00
9.843750000000e+00	2.251875188394e+03	2.251875188394e+03	9.892365306174e-01	9.892536542159e-01	2.252864424925e+03	2.252864442048e+03	-2.257842205336e+00	-2.125924859037e+00	-3.565997431137e+00
9.934895833333e+00	2.299392716539e+03	2.299392716539e+03	9.759326292425e-01	9.759440632284e-01	2.300368649168e+03	2.300368660602e+03	-2.319542960393e+00	-2.189198869178e+00	-3.655607337323e+00
1.002604166667e+01	2.297571780434e+03	2.297571780434e+03	9.182229452131e-01	9.182385381988e-01	2.298490003379e+03	2.298490018972e+03	-2.285224918173e+00	-2.156445183722e+00	-3.649401925372e+00
1.011718750000e+01	2.254511838262e+03	2.254511838262e+03	8.185338492171e-01	8.185296072858e-01	2.255330372111e+03	2.255330367869e+03	-2.198314233420e+00	-2.071111880485e+00	-3.590828296452e+00
1.020833333333e+01	2.183012265254e+03	2.183012265254e+03	7.043816535313e-01	7.043748068536e-01	2.183716646907e+03	2.183716640060e+03	-2.082411241654e+00	-1.956783243168e+00	-3.503471987329e+00
1.029947916667e+01	2.097835510508e+03	2.097835510508e+03	6.192589168063e-01	6.192380136167e-01	2.098454769425e+03	2.098454748522e+03	-1.918482120736e+00	-1.794435018285e+00	-3.368310815378e+00
1.039062500000e+01	2.013009803937e+03	2.013009803937e+03	5.953305799545e-01	5.953223015119e-01	2.013605134517e+03	2.013605126239e+03	-1.701637803034e+00	-1.579159565756e+00	-3.180439346649e+00
1.048177083333e+01	1.940648900612e+03	1.940648900612e+03	6.290019657664e-01	6.289944717553e-01	1.941277902577e+03	1.941277895084e+03	-1.457256871594e+00	-1.336356318023e+00	-2.965259320524e+00
1.057291666667e+01	1.888172385341e+03	1.888172385341e+03	6.828339384134e-01	6.828447685688e-01	1.888855219279e+03	1.888855230109e+03	-1.246474186360e+00	-1.127148604829e+00	-2.783896431754e+00
1.066406250000e+01	1.855177441171e+03	1.855177441171e+03	7.127835552614e-01	7.127902497538e-01	1.855890224726e+03	1.855890231421e+03	-1.126073304254e+00	-1.008336274974e+00	-2.693152694689e+00
1.075520833333e+01	1.832767261429e+03	1.832767261429e+03	7.006645045369e-01	7.006798469546e-01	1.833467925933e+03	1.833467941276e+03	-1.082739798666e+00	-9.665827577077e-01	-2.679693483428e+00
1.084635416667e+01	1.806639161966e+03	1.806639161966e+03	6.609305285424e-01	6.609338286183e-01	1.807300092495e+03	1.807300095795e+03	-1.060791681002e+00	-9.462155499147e-01	-2.687849126801e+00
1.093750000000e+01	1.765649338508e+03	1.765649338508e+03	6.210513968306e-01	6.210599735772e-01	1.766270389905e+03	1.766270398481e+03	-1.003304325723e+00	-8.902967736468e-01	-2.660688991255e+00
1.102864583333e+01	1.708399298396e+03	1.708399298396e+03	5.959015443981e-01	5.958986274489e-01	1.708995199940e+03	1.708995197023e+03	-9.022407550970e-01	-7.908041433146e-01	-2.590209445309e+00
1.111979166667e+01	1.642123794610e+03	1.642123794610e+03	5.815329830061e-01	5.815369609275e-01	1.642705327593e+03	1.642705331572e+03	-7.889499471111e-01	-6.790746009284e-01	-2.507786031066e+00
1.121093750000e+01	1.575760798522e+03	1.575760798522e+03	5.651461825508e-01	5.651381301378e-01	1.576325944705e+03	1.576325936653e+03	-6.921867934320e-01	-5.838867534165e-01	-2.442258100068e+00
1.130208333333e+01	1.513009509492e+03	1.513009509492e+03	5.388516075585e-01	5.388478856252e-01	1.513548361100e+03	1.513548357378e+03	-6.182866496424e-01	-5.115637485788e-01	-2.400018123949e+00
1.139322916667e+01	1.452432359639e+03	1.452432359639e+03	5.027973891531e-01	5.027811490568e-01	1.452935157028e+03	1.452935140788e+03	-5.532250914821e-01	-4.480931003369e-01	-2.367104385543e+00
