# units: z_A in Angstrom; densities in e/A^3; diff = reproduction - DFT
z_A	RHOB_DFT_e_per_A3	RHOB_repro_e_per_A3	RHOB_diff_e_per_A3	RHOION_DFT_e_per_A3	RHOION_repro_e_per_A3	RHOION_diff_e_per_A3
4.283854166667	4.1191987579133470e-11	4.1191951344897322e-11	-3.6234236147571170e-17	-1.1032830488325300e-19	-1.2863692388638915e-19	-1.8308619003136149e-20
4.375000000000	-4.3305999434453877e-11	-4.3305964529541842e-11	3.4904912035112572e-17	-1.8873501712885484e-20	-3.9884110310435910e-20	-2.1010608597550427e-20
4.466145833333	4.5427492265983899e-11	4.5427458949586074e-11	-3.3316397824735158e-17	-1.5307177528423498e-20	-3.9151158428186817e-20	-2.3843980899763319e-20
4.557291666667	-4.7556937063835755e-11	-4.7556905095330613e-11	3.1968505142498925e-17	-1.3065712274290244e-20	-3.9152824312027397e-20	-2.6087112037737153e-20
4.648437500000	4.9694817991977590e-11	4.9694787470702497e-11	-3.0521275093267930e-17	1.7384423651269437e-22	-3.1165355401023694e-20	-3.1339199637536389e-20
4.739583333333	-5.1841621636826887e-11	-5.1841592562193601e-11	2.9074633285774735e-17	-3.2036649683592514e-20	-6.5148349756627985e-20	-3.3111700073035471e-20
4.830729166667	5.3997846022225017e-11	5.3997818238467907e-11	-2.7783757109798970e-17	-1.1881824138819110e-20	-5.2331113316109535e-20	-4.0449289177290425e-20
4.921875000000	-5.6163992985168278e-11	-5.6163966731191471e-11	2.6253976807117096e-17	7.3218187369841697e-21	-3.5029835778164595e-20	-4.2351654515148765e-20
5.013020833333	5.8340576945114233e-11	5.8340551827777750e-11	-2.5117336482588724e-17	1.6965805546577654e-20	-2.9511169739817054e-20	-4.6476975286394708e-20
5.104166666667	-6.0528117991277389e-11	-6.0528094519100614e-11	2.3472176775842617e-17	6.8456721078979542e-21	-4.1848927783417388e-20	-4.8694599891315340e-20
5.195312500000	6.2727149008089983e-11	6.2727126476305196e-11	-2.2531784786686161e-17	7.5417524271712911e-21	-4.4249799613864249e-20	-5.1791552041035540e-20
5.286458333333	-6.4938210220394957e-11	-6.4938189482426021e-11	2.0737968936540547e-17	-2.8025775134046776e-20	-8.0102193316511825e-20	-5.2076418182465049e-20
5.377604166667	6.7161855451910038e-11	6.7161835483237088e-11	-1.9968672949838514e-17	-1.1513904431645918e-20	-6.7101617101458086e-20	-5.5587712669812172e-20
5.468750000000	-6.9398649574586695e-11	-6.9398631434001032e-11	1.8140585662746332e-17	5.3037299997295544e-21	-4.9736651897790630e-20	-5.5040381897520185e-20
5.559895833333	7.1649167785285178e-11	7.1649150378752115e-11	-1.7406533063135313e-17	1.4332922367860028e-20	-4.2124511249724976e-20	-5.6457433617585004e-20
5.651041666667	-7.3914001252922798e-11	-7.3913985587718597e-11	1.5665204201000449e-17	-2.3280333720318245e-21	-5.6610123442701683e-20	-5.4282090070669863e-20
5.742187500000	7.6193754287518836e-11	7.6193739400747478e-11	-1.4886771358197914e-17	2.3818400327411735e-20	-3.1460290884886028e-20	-5.5278691212297759e-20
5.833333333333	-7.8489043379581281e-11	-7.8489030154994377e-11	1.3224586904427577e-17	-3.2404141351089232e-20	-8.6583758161927194e-20	-5.4179616810837962e-20
5.924479166667	8.0800505263714468e-11	8.0800492808216328e-11	-1.2455498139393686e-17	9.2991783489444813e-21	-4.4897295702687171e-20	-5.4196474051631649e-20
