z_A	RHOB_DFT_e_A3	RHOB_step05_e_A3	RHOB_step05_minus_DFT_e_A3	RHOION_DFT_e_A3	RHOION_step05_e_A3	RHOION_step05_minus_DFT_e_A3
1.157552083333e+01	1.074710457494e-04	1.074899911386e-04	1.89454e-08	1.649950614225e-20	3.427367258091e-20	1.77742e-20
1.166666666667e+01	6.304980111424e-05	6.306635964702e-05	1.65585e-08	-6.045120549581e-20	-3.869529856307e-20	2.17559e-20
1.175781250000e+01	2.794433033351e-05	2.796470029895e-05	2.037e-08	-1.059948423850e-20	1.723516045838e-20	2.78346e-20
1.184895833333e+01	5.147928571705e-06	5.170329522410e-06	2.2401e-08	-6.381395037731e-20	-3.119482303601e-20	3.26191e-20
1.194010416667e+01	-8.723327149434e-06	-8.707416631160e-06	1.59105e-08	-2.369524697505e-20	1.415690322756e-20	3.78522e-20
1.203125000000e+01	-1.756961103614e-05	-1.756211147457e-05	7.49956e-09	-6.409102069646e-20	-2.127237448288e-20	4.28186e-20
1.212239583333e+01	-2.289503463661e-05	-2.288942324047e-05	5.6114e-09	-5.022184104513e-20	-3.853596602586e-21	4.63682e-20
1.221354166667e+01	-2.481238469104e-05	-2.480565308092e-05	6.73161e-09	-8.897927508573e-20	-3.767770265718e-20	5.13016e-20
1.230468750000e+01	-2.351192962422e-05	-2.350800310761e-05	3.92652e-09	-9.016347413270e-21	4.825762004345e-20	5.7274e-20
1.239583333333e+01	-1.956119274560e-05	-1.956079917307e-05	3.93573e-10	-5.255323686796e-20	6.998785345258e-21	5.9552e-20
1.248697916667e+01	-1.356334655234e-05	-1.356020742826e-05	3.13912e-09	-7.181116501357e-20	-1.207254933196e-20	5.97386e-20
1.257812500000e+01	-6.282705420516e-06	-6.273302527520e-06	9.40289e-09	-6.675020113858e-20	-4.873265608322e-21	6.18769e-20
1.266927083333e+01	1.070211735543e-06	1.080570028681e-06	1.03583e-08	-4.449805256177e-20	2.145303033332e-20	6.59511e-20
1.276041666667e+01	6.949776834638e-06	6.954933436928e-06	5.1566e-09	-7.758592030496e-20	-1.048929330387e-20	6.70966e-20
1.285156250000e+01	9.780691259323e-06	9.782496272317e-06	1.80501e-09	-2.343825208947e-20	4.387893684552e-20	6.73172e-20
1.294270833333e+01	8.500267413440e-06	8.505095037945e-06	4.82762e-09	-5.794088596630e-20	1.031515291019e-20	6.8256e-20
