z_A	PHI_DFT_e_A3	PHI_step01_e_A3	RHOB_DFT_e_A3	RHOB_step01_e_A3	RHOION_DFT_e_A3	RHOION_step01_e_A3	PHI_step02_e_A3	RHOB_step02_e_A3	RHOION_step02_e_A3	PHI_step03_e_A3	RHOB_step03_e_A3	RHOION_step03_e_A3	PHI_step04_e_A3	RHOB_step04_e_A3	RHOION_step04_e_A3	PHI_step05_e_A3	RHOB_step05_e_A3	RHOION_step05_e_A3
3.828125000000e+00	9.132333573306e-05	4.422463735656e-05	-3.071785233970e-11	-2.569463451439e-11	-6.765702278327e-20	-5.820250249888e-20	6.738663988403e-05	-2.808991156739e-11	-1.296755839682e-19	9.134547715323e-05	-3.049136342133e-11	3.775403715762e-20	9.126264155696e-05	-3.068946161634e-11	1.502516189942e-20	9.129191107877e-05	-3.072182531302e-11	-3.403711707153e-20
3.919270833333e+00	9.116067351494e-05	4.443964041178e-05	3.280141124575e-11	2.766578022328e-11	-8.465022286458e-20	-7.643075186031e-20	6.741664536703e-05	3.012087181902e-11	-1.505291922662e-19	9.118310534883e-05	3.257599557032e-11	1.938555739425e-20	9.110044903595e-05	3.277261825525e-11	-4.585919150894e-21	9.112950693045e-05	3.280527656827e-11	-5.078509904756e-20
4.010416666667e+00	9.092387377553e-05	4.458050579088e-05	-3.489015113046e-11	-2.964060532288e-11	-7.875106895078e-20	-7.098879051911e-20	6.737251332915e-05	-3.215627114170e-11	-1.448622255439e-19	9.094659602303e-05	-3.466578544340e-11	2.500787842883e-20	9.086411899366e-05	-3.486094828539e-11	1.993063459595e-21	9.089296526081e-05	-3.489390986586e-11	-4.348963829527e-20
4.101562500000e+00	9.061422637380e-05	4.464852333232e-05	3.698452401426e-11	3.161950882386e-11	-9.253829403813e-20	-8.424433951504e-20	6.725553362831e-05	3.419653635083e-11	-1.614421383474e-19	9.063723903499e-05	3.676118783137e-11	1.206396077511e-20	9.055494128901e-05	3.695490273749e-11	-1.148178989272e-20	9.058357592882e-05	3.698817732748e-11	-5.513890504615e-20
4.192708333333e+00	9.017605088574e-05	4.458801263231e-05	-3.908498203330e-11	-3.360288517086e-11	-8.432622696208e-20	-7.769623128560e-20	6.701002584158e-05	-3.624209099001e-11	-1.545875074862e-19	9.019935396051e-05	-3.886265730426e-11	1.908436559092e-20	9.011723549803e-05	-3.905493409294e-11	-5.512965013590e-21	9.014565851051e-05	-3.908853092487e-11	-4.795768690756e-20
4.283854166667e+00	8.959173333547e-05	4.438135969506e-05	4.119198757913e-11	3.559113867323e-11	-1.103283048833e-19	-1.062679906025e-19	6.661837599198e-05	3.829337018554e-11	-1.833064568978e-19	8.961532682389e-05	4.097065924611e-11	-8.007940772755e-21	8.953338764480e-05	4.116150383626e-11	-3.382206997401e-20	8.956159902995e-05	4.119543324325e-11	-7.385707234326e-20
4.375000000000e+00	8.877962198921e-05	4.394691280640e-05	-4.330599943445e-11	-3.758466544063e-11	-1.887350171289e-20	-1.573890058770e-20	6.599893234682e-05	-4.035080150207e-11	-9.219601043274e-20	8.880350589114e-05	-4.308565491876e-11	8.281123515296e-20	8.872174599555e-05	-4.327507083504e-11	5.448965457335e-20	8.874974575337e-05	-4.330934280322e-11	1.822388104366e-20
4.466145833333e+00	8.768594724055e-05	4.323090234057e-05	4.542749226598e-11	3.958387590522e-11	-1.530717752842e-20	-1.420724993990e-20	6.509792529861e-05	4.241482964267e-11	-9.219171615425e-20	8.771012155608e-05	4.520812198683e-11	8.488389084175e-20	8.762854094389e-05	4.539610909863e-11	5.338809812058e-20	8.765632907437e-05	4.543073453360e-11	1.976767413388e-20
4.557291666667e+00	8.618078656325e-05	4.210340579042e-05	-4.755693706384e-11	-4.158917279644e-11	-1.306571227429e-20	-1.177728067121e-20	6.378543232218e-05	-4.448589159703e-11	-8.933579889031e-20	8.620525129227e-05	-4.733853427653e-11	8.556142432057e-20	8.612384996357e-05	-4.752508951358e-11	5.220113735480e-20	8.615142646672e-05	-4.756007922541e-11	2.195820036126e-20
4.648437500000e+00	8.414394236317e-05	4.044422554301e-05	4.969481799198e-11	4.360096935932e-11	1.738442365127e-22	-9.651760934345e-22	6.194125582234e-05	4.656443835495e-11	-7.810255887075e-20	8.416869750574e-05	4.947737867433e-11	9.817431233995e-20	8.408747546045e-05	4.966249548522e-11	5.965256185675e-20	8.411484033626e-05	4.969786109330e-11	3.427056293088e-20
